,start station name,start station id,start station latitude,start station longitude,count
385,Crotona Park North & Prospect Ave,4205,40.841092,-73.892317,280
386,Cumberland St & Lafayette Ave,416,40.68753406,-73.97265183,13707
387,Cypress Ave & George St,3878,40.69812,-73.90271,1429
388,Cypress Ave & Palmetto St,3895,40.70157340873792,-73.90876293182373,1861
389,Dawson St & Intervale Ave,4202,40.819999,-73.897263,161
390,DeKalb Ave & Franklin Ave,3755,40.69064807082943,-73.95746178925037,13543
391,DeKalb Ave & Hudson Ave,324,40.689888,-73.981013,18012
392,DeKalb Ave & S Portland Ave,241,40.68981035,-73.97493121,22744
393,DeKalb Ave & Vanderbilt Ave,258,40.68940747,-73.96885458,18749
394,Dean St & 4 Ave,467,40.68312489,-73.97895137,18195
395,Dean St & Franklin Ave,3673,40.67759206937376,-73.955637216568,15763
396,Dean St & Hoyt St,3410,40.6864442,-73.98759104,10154
397,Degraw St & Hoyt St,3332,40.68199044270703,-73.99079024791718,7463
398,Degraw St & Smith St,3329,40.6829151,-73.99318208,11461
399,Delancey St & Eldridge St,3738,40.719383,-73.991479,18294
400,Devoe St & Lorimer St,3453,40.71335226222875,-73.9491033554077,15589
401,Devoe St & Morgan Ave,3772,40.713811,-73.93515,4879
402,Ditmars Blvd & 19 St,3532,40.78145,-73.9183302,12620
403,Division Ave & Hooper St,3714,40.70684203101325,-73.9544353965357,9643
404,Division Ave & Marcy Ave,3075,40.70708701,-73.95796783,3628
405,Division St & Bowery,3786,40.714193,-73.996732,22638
406,Division St & Bowery (old),296,40.71413089,-73.9970468,598
407,Dock 72 Way & Market St,3787,40.69985,-73.97141,7139
408,Douglass St & 3 Ave,3420,40.6802133,-73.98432695,7897
409,Douglass St & 4 Ave,3419,40.6792788,-73.98154004,9209
410,Driggs Ave & Lorimer St,3102,40.72179134,-73.9504154,12861
411,Driggs Ave & N 9 St,3715,40.71816969454208,-73.95520135760307,24533
412,Driggs Ave & N Henry St,3106,40.72325,-73.94308,15028
413,Duane St & Greenwich St,276,40.71748752,-74.0104554,16439
414,Duffield St & Willoughby St,390,40.69221589,-73.9842844,16789
415,Dwight St & Van Dyke St,3337,40.67363551341504,-74.01195555925369,4054
416,E 10 St & 5 Ave,280,40.73331967,-73.99510132,27918
