,end_station_name,count,end_station_id,end_lat,end_lng
572,Audobon Ave & W 179 St,3762,8316.02,40.847305,-73.933291
573,Audubon Ave & Fort George Ave,1966,8491.07,40.85715781391904,-73.92717361450195
574,Audubon Ave & W 179 St,1020,8316.02,40.847305,-73.933291
575,Audubon Ave & W 192 St,2227,8469.05,40.85589030603889,-73.92708241939545
576,Ave A & E 11 St,59014,5703.13,40.72854745023944,-73.98175925016403
577,Ave A & E 14 St,98497,5779.11,40.73031071000895,-73.98047178983688
578,Ave C & E 16 St,19569,5769.06,40.72984830346529,-73.97455215454102
579,Ave D & E 10 St,3548,5575.13,40.72506551015475,-73.97515833377838
580,Ave D & E 12 St,2190,5575.08,40.72580614,-73.97422494
581,Ave D & E 3 St,8657,5436.09,40.72082834,-73.97793172
582,Ave D & E 8 St,24686,5506.10,40.72368361,-73.97574813
583,Avenue D & E 10 St,13011,5575.13,40.72506551015475,-73.97515833377838
584,Avenue D & E 12 St,8234,5575.08,40.72580614,-73.97422494
585,Avenue D & E 3 St,28142,5436.09,40.72082834,-73.97793172
586,Bailey Ave & Sedgwick Ave,1372,8643.01,40.86571,-73.90857
587,Bailey Ave & W 193 St,1275,8676.01,40.87069,-73.90678
588,Bailey Ave & W 229 St,97,8741.01,40.87449,-73.90467
589,Bailey Ave & W 234 St,56,8831.03,40.88066,-73.90076
590,Bailey Ave & W 238 St,143,8862.02,40.88417,-73.89793
591,Bainbridge Ave & Bedford Park Blvd,2629,8682.06,40.87002,-73.88565
592,Bainbridge Ave & E 193 St,2031,8582.02,40.86389,-73.89246
593,Bainbridge Ave & E 196 St,3920,8615.01,40.86648,-73.89042
594,Bainbridge Ave & E 198 St,2969,8649.03,40.8684871,-73.8884559781
595,Baldwin at Montgomery,8,JC020,40.7236589,-74.0641943
596,Bank St & Hudson St,30741,5922.08,40.73652889,-74.00618026
597,Bank St & Washington St,33918,5964.01,40.7361967,-74.00859207
598,Banker St & Meserole Ave,14022,5633.04,40.72606,-73.95621
599,Barclay St & Church St,17880,5216.04,40.71291224,-74.01020234
600,Barrow St & Hudson St,48127,5805.05,40.73172428,-74.00674436
601,Barry St & Tiffany St,2382,7844.05,40.816126,-73.891559
602,Bay St & Court St,3996,3931.09,40.671409,-74.001328
603,Bayard St & Baxter St,39017,5351.03,40.71602118,-73.99974372
604,Bayard St & Leonard St,25040,5442.05,40.71915571696044,-73.94885390996933
605,Beaver St & Fayette St,14453,4840.06,40.70099,-73.93921
606,Beck St & Leggett Ave,5299,7807.04,40.815077,-73.899939
607,Bedford Ave & Albemarle Rd,1485,3256.04,40.64796,-73.9556
608,Bedford Ave & Bergen St,15236,4066.15,40.676368,-73.952918
609,Bedford Ave & Beverley Rd,1776,3140.09,40.64491,-73.95487
610,Bedford Ave & Clarkson Ave,8862,3439.03,40.65519,-73.9564
611,Bedford Ave & Fenimore St,5250,3552.09,40.65815,-73.95674
612,Bedford Ave & Maple St,4099,3625.04,40.66035,-73.95679
613,Bedford Ave & Montgomery St,6458,3736.03,40.665816,-73.956934
614,Bedford Ave & Nassau Ave,40929,5550.05,40.72311651,-73.95212324
615,Bedford Ave & S 9 St,11714,5093.01,40.70853074,-73.96408963
616,Bedford Park Blvd & Paul Ave,2358,8752.01,40.87444,-73.89186
617,Benham St & Roosevelt Ave,286,6314.09,40.74841,-73.8751
618,Bergen Ave,16,JC095,40.722103786686034,-74.07145500183105
619,Bergen Ave & E 152 St,6628,7858.02,40.817166,-73.914737
